keyword,title,follower_count,answer_count,visit_count,ratio,url,id
雄安新区,属于「知乎官方指南」的问答有哪些？,16030,1,64803775,16030.0,https://www.zhihu.com/question/19581624,19581624
北京城市病,有什么关于北京的冷知识？,14921,429,8375645,34.8,https://www.zhihu.com/question/52318037,52318037
北京城市病,中国城市有什么让你感到了恐怖？,5472,489,8535033,11.2,https://www.zhihu.com/question/295083794,295083794
北京城市病,中央重磅文件明确「推进超大特大城市瘦身健体」，哪些信息值得关注？有哪些意义？,5158,1384,8661562,3.7,https://www.zhihu.com/question/572497873,572497873
京津冀协同发展,为什么需要设立直辖市？北京，天津，上海，重庆为什么会成为直辖市？,4997,200,3608816,25.0,https://www.zhihu.com/question/20196838,20196838
北京为什么这么堵,为什么总感觉北京不像是一个东亚城市？,4671,1137,21491110,4.1,https://www.zhihu.com/question/586417232,586417232
雄安新区,中共中央、国务院提出要建成以首都为核心的世界一流都市圈，这会带来哪些改变？,3966,1512,9490386,2.6,https://www.zhihu.com/question/2001724552481376192,2001724552481376192
北京为什么这么堵,为什么在北京，大家对通勤容忍度这么高？,2038,1073,7115159,1.9,https://www.zhihu.com/question/652238209,652238209
雄安新区,雄安新区如何发展起来？,1890,1086,15280892,1.7,https://www.zhihu.com/question/814109043,814109043
雄安新区,为什么第四代住宅普遍不被大家接受？,1242,517,5352860,2.4,https://www.zhihu.com/question/1979923955776262866,1979923955776262866
北京为什么这么堵,作为首都，为何北京的“车让人”做得这么差？,992,716,3934437,1.4,https://www.zhihu.com/question/60330760,60330760
北京为什么这么堵,北京的交通有无改善的可能，主要障碍在哪里？,883,460,3388223,1.9,https://www.zhihu.com/question/65228488,65228488
北京城市病,既然北京市政府最终迁到了通州，那为什么不一开始就设计成德里新德里那样的模式？,874,181,5307479,4.8,https://www.zhihu.com/question/653167196,653167196
北京城市病,例如北京，上海这样的大城市，医疗设施和医生的医治水平真的会更好吗？,696,193,1500358,3.6,https://www.zhihu.com/question/453771080,453771080
北京城市病,如何看待北京地铁上一男子辱骂农民工「跟要饭似的」，现已被警方行政拘留？,383,242,931918,1.6,https://www.zhihu.com/question/1897436672351769145,1897436672351769145
北京城市病,北漂那么难，为什么在北京的外地人都不走？,370,114,354123,3.2,https://www.zhihu.com/question/36970564,36970564
北京城市病,现在出售北京的房子将来会不会后悔？,342,124,1076826,2.8,https://www.zhihu.com/question/627869757,627869757
